x	y
1.247	9.920e-9
2.237	1.865e-9
3.079	3.860e-10
3.538	2.449e-10
4.123	1.119e-10
4.767	1.706e-10
5.174	1.226e-10
6.124	3.849e-11
7.010	5.777e-11
7.547	3.543e-11
8.160	2.172e-11
8.413	2.090e-11
9.061	2.786e-11
9.759	2.073e-11
9.968	1.819e-11
11.368	2.168e-11
12.052	1.802e-11
12.720	1.879e-11
13.855	1.918e-11
14.943	2.050e-11
15.456	1.945e-11
16.141	2.208e-11
16.696	2.115e-11
17.347	2.523e-11
17.864	2.441e-11
18.368	2.852e-11
19.448	3.397e-11
20.084	3.881e-11
20.409	4.624e-11
20.624	6.822e-11
20.911	1.500e-10
21.390	9.992e-9
