x	y
5.773	9.759e-9
5.817	6.007e-9
5.879	3.825e-9
5.949	2.559e-9
5.996	1.710e-9
6.060	1.138e-9
6.096	7.648e-10
6.189	5.093e-10
6.279	3.405e-10
6.377	2.262e-10
6.453	1.546e-10
6.631	1.040e-10
6.868	7.039e-11
7.127	5.140e-11
7.612	6.294e-11
8.234	5.421e-11
8.930	5.003e-11
9.601	6.251e-11
9.869	6.460e-11
10.398	5.611e-11
11.113	6.901e-11
11.561	6.151e-11
12.489	6.774e-11
13.833	6.902e-11
14.779	6.315e-11
15.860	6.977e-11
16.720	7.107e-11
17.177	7.107e-11
18.002	7.582e-11
18.629	7.582e-11
19.420	9.323e-11
19.605	1.235e-10
19.684	1.608e-10
19.731	2.366e-10
20.125	9.805e-9
